Filename	Dim1	Dim2	Dim3	Dim4	Dim5	Dim6	TextType
Factmonster_10053212_cats.txt	0.5875	-0.4071	3.5677	5.2434	0.1317	-2.0108	Involved persuasion
Science_for_students_10065917_cookie-science-2-baking-testable-hypothesis.txt	1.0293	-3.2422	5.4287	1.4769	1.7111	-1.8191	Involved persuasion
History_kids_10380673_egyptian-pyramids.txt	-7.6963	-1.7864	0.3494	-0.9108	5.7564	0.6752	General narrative exposition
Revision_World_GCSE_10528840_farmers-vs-doctors-essay-any-improvement.txt	5.8844	-5.2028	6.1453	4.5542	2.7401	0.2240	Involved persuasion
Ducksters_10397776_hirohitophp.txt	-18.7558	1.1742	5.0524	-0.5767	2.4987	-2.2817	Learned exposition
History_Kids_BBC_10401598_wdytya_celeb_gallery_04s.txt	-18.2809	1.7125	2.3766	-0.1915	1.0232	-1.5633	Learned exposition
Teen_Kids_News_10402374_physics-proves-no-one-can-safely-text-and-drive.txt	18.4133	0.5096	2.4961	3.4933	-0.9001	0.0359	Involved persuasion
History_kids_10380590_ancient-greece.txt	-11.5706	-0.0084	2.8880	-3.6696	-0.2544	-1.4514	General narrative exposition
WhyFiles_10062260_238bee_diversity.txt	-11.1069	-3.2267	2.0806	2.0427	-2.3179	-1.8162	General narrative exposition
Revision_World_GCSE_10529643_environment.txt	-7.7364	-6.0957	17.1406	-0.6390	3.4025	-2.6698	Scientific exposition
Science_for_students_10068770_when-teens-fall-love-science.txt	-10.9957	-3.0920	4.9575	-4.4524	-1.0112	-0.7281	General narrative exposition
WhyFiles_10063135_261prosthetic.txt	-6.8822	0.4287	3.7334	-0.6279	1.9390	-0.7362	General narrative exposition
Science_Tech_Kinds_NZ_10382372_astronomy.txt	-15.7562	-5.3005	12.5780	-7.0882	-3.3232	-1.0960	Learned exposition
TweenTribute_10051479_now-google-lets-you-zip-through-amazon-jungle.txt	-6.7806	-2.1543	4.7582	3.9394	0.5248	-0.8271	General narrative exposition
Encyclopedia_Kinds_au_10086539_Scientific_journal.txt	-13.1097	-3.1330	5.6362	0.2656	6.7654	-1.8443	Scientific exposition
WhyFiles_10063084_206supernova.txt	-10.1343	0.5283	-3.7209	-2.4893	1.1306	-0.9312	General narrative exposition
Dogo_News_file10060404_banana-plant-extract-may-be-the-key-to-slower-melting-ice-cream.txt	-16.8229	-4.1323	2.0453	-4.3267	2.5341	-0.6988	Learned exposition
Ducksters_10399494_prairie_dogphp.txt	-9.2148	-1.9934	2.8358	-2.9344	1.2962	-1.2124	General narrative exposition
Dogo_News_10060561_just-in-time-for-earth-day-a-plastic-eating-enzyme.txt	-3.9244	-2.4025	2.1103	1.4343	4.8958	-1.1274	General narrative exposition
Quatr_us_file10391762_bones.txt	-2.2763	-4.5010	3.7513	-1.4436	-1.6681	-2.5193	Involved persuasion
Science_for_students_10069197_how-hot-peppers-can-soothe-pain.txt	-14.3876	-3.4082	7.0869	-4.3622	-0.6170	1.3631	Learned exposition
Dogo_News_file10062126_3.txt	-11.0529	0.9860	4.2962	0.8707	1.1230	-1.8417	General narrative exposition
Encyclopedia_Kinds_au_10087950_Ship.txt	-16.6548	-4.1542	3.6404	-2.9997	3.5570	-2.6989	Learned exposition
Science_Tech_Kinds_NZ_10382667_countries.txt	-14.0440	-6.9457	9.6741	-8.4223	-0.1563	-2.5769	Learned exposition
TeenVogue_10406508_makenna-kelly-21-under-21-2018.txt	-2.4719	1.8474	2.2658	-3.9079	2.9134	-2.3703	General narrative exposition
WhyFiles_10062900_248fish_conserv.txt	-5.1293	-1.3907	1.8992	2.8551	3.1215	-1.6268	General narrative exposition
Factmonster_10053154_wacky-wars.txt	-15.7457	1.7737	2.7332	-2.4517	-0.8047	0.4205	General narrative exposition
WhyFiles_10062877.txt	-5.5147	0.2980	4.1434	1.6509	0.0638	0.1433	General narrative exposition
History_kids_10380614_medieval-daily-life.txt	-2.4052	-1.1896	1.6197	1.0944	-0.5207	-0.9016	Involved persuasion
Dogo_News_10060797_clever-ants-use-sponges-and-paper-to-transport-honey.txt	-6.9290	-1.1838	3.3219	-2.4322	2.2613	-0.4084	General narrative exposition
Teen_Kids_News_10405120_barack-obama-releases-his-year-end-list-of-his-favorite-songs-movies-and-books.txt	-22.7244	-2.8078	5.0732	-7.4465	-3.1197	-1.8855	Learned exposition
History_Kids_BBC_10403195_human_gallery_03s.txt	-4.1744	-2.2061	0.9526	-0.1992	1.3380	0.0208	General narrative exposition
Ducksters_10397783_ronaldreaganphp.txt	-19.6539	-0.4671	3.4346	-3.2715	0.0068	-2.6239	Learned exposition
