"lemma"	"semantic_domain_Biber"	"semantic_domain_Edwards"	"Edwards"	"agreement"
"181"	"illustrate"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"182"	"imagine"	"mental"	"mental"	"Edwards"	TRUE
"183"	"imply"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"184"	"impress"	"mental"	"mental"	"Edwards"	TRUE
"185"	"include"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"186"	"increase"	"occurrence"	"occurrence"	"Edwards"	TRUE
"187"	"indicate"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"188"	"influence"	"facilitation_causation"	"facilitation_causation"	"Edwards"	TRUE
"189"	"inform"	"communication"	"communication"	"Edwards"	TRUE
"190"	"insist"	"communication"	"communication"	"Edwards"	TRUE
"191"	"intend"	"mental"	"mental"	"Edwards"	TRUE
"192"	"interpret"	"mental"	"mental"	"Edwards"	TRUE
"193"	"invite"	"communication"	"communication"	"Edwards"	TRUE
"194"	"involve"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"195"	"join"	"activity"	"activity"	"Edwards"	TRUE
"196"	"judge"	"mental"	"mental"	"Edwards"	TRUE
"197"	"justify"	"mental"	"mental"	"Edwards"	TRUE
"198"	"keep"	"aspectual"	"activity"	"Edwards"	FALSE
"199"	"keep"	"aspectual"	"aspectual"	"Edwards"	TRUE
"200"	"know"	"mental"	"mental"	"Edwards"	TRUE
"201"	"lack"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"202"	"last"	"occurrence"	"occurrence"	"Edwards"	TRUE
"203"	"last"	"occurrence"	"existence_relationship"	"Edwards"	FALSE
"204"	"learn"	"mental"	"mental"	"Edwards"	TRUE
"205"	"leave"	"activity"	"activity"	"Edwards"	TRUE
"206"	"let"	"facilitation_causation"	"facilitation_causation"	"Edwards"	TRUE
"207"	"lie"	"activity"	"activity"	"Edwards"	TRUE
"208"	"lie"	"activity"	"communication"	"Edwards"	FALSE
"209"	"lie"	"activity"	"existence_relationship"	"Edwards"	FALSE
"210"	"like"	"mental"	"mental"	"Edwards"	TRUE
"211"	"listen"	"mental"	"mental"	"Edwards"	TRUE
"212"	"live"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"213"	"look"	"activity"	NA	NA	NA
"214"	"look after"	"activity"	NA	NA	NA
"215"	"look forward"	"mental"	"mental"	"Edwards"	TRUE
"216"	"look up"	"activity"	"activity"	"Edwards"	TRUE
"217"	"lose"	"activity"	"activity"	"Edwards"	TRUE
"218"	"love"	"mental"	"mental"	"Edwards"	TRUE
"219"	"make"	"activity"	"activity"	"Edwards"	TRUE
"220"	"make up"	"activity"	NA	NA	NA
"221"	"matter"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"222"	"mean"	"mental"	"mental"	"Edwards"	TRUE
"223"	"mean"	"mental"	"existence_relationship"	"Edwards"	FALSE
"224"	"meet"	"activity"	"activity"	"Edwards"	TRUE
"225"	"mention"	"communication"	"communication"	"Edwards"	TRUE
"226"	"mind"	"mental"	"mental"	"Edwards"	TRUE
"227"	"miss"	"mental"	"mental"	"Edwards"	TRUE
"228"	"move"	"activity"	"activity"	"Edwards"	TRUE
"229"	"need"	"mental"	"mental"	"Edwards"	TRUE
"230"	"notice"	"mental"	"mental"	"Edwards"	TRUE
"231"	"observe"	"mental"	"mental"	"Edwards"	TRUE
"232"	"obtain"	"activity"	"activity"	"Edwards"	TRUE
"233"	"obtain"	"activity"	"activity"	"Edwards"	TRUE
"234"	"occur"	"occurrence"	"occurrence"	"Edwards"	TRUE
"235"	"offer"	"communication"	"communication"	"Edwards"	TRUE
"236"	"open"	"activity"	"activity"	"Edwards"	TRUE
"237"	"owe"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"238"	"own"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"239"	"pass"	"activity"	"activity"	"Edwards"	TRUE
"240"	"pay"	"activity"	"activity"	"Edwards"	TRUE
"241"	"perceive"	"mental"	"mental"	"Edwards"	TRUE
"242"	"permit"	"facilitation_causation"	"facilitation_causation"	"Edwards"	TRUE
"243"	"persuade"	"communication"	"communication"	"Edwards"	TRUE
"244"	"phone"	"communication"	"communication"	"Edwards"	TRUE
"245"	"pick"	"activity"	"activity"	"Edwards"	TRUE
"246"	"pick up"	"activity"	NA	NA	NA
"247"	"plan"	"mental"	"activity"	"Edwards"	FALSE
"248"	"plan"	"mental"	"mental"	"Edwards"	TRUE
"249"	"play"	"activity"	"activity"	"Edwards"	TRUE
"250"	"possess"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"251"	"pray"	"communication"	"communication"	"Edwards"	TRUE
"252"	"pray"	"communication"	"mental"	"Edwards"	FALSE
"253"	"predict"	"mental"	"mental"	"Edwards"	TRUE
"254"	"prefer"	"mental"	"mental"	"Edwards"	TRUE
