"Lemma" "Corpus" "Semantic domain"
"497" "cheer" "Textbook Conversation" "communication"
"498" "cheer" "Textbook Fiction" "communication"
"499" "cheer" "Textbook Conversation" "communication"
"500" "chew" "Spoken BNC 2014" "activity"
"501" "chew" "Textbook Fiction" "activity"
"502" "chew" "Spoken BNC 2014" "activity"
"503" "chew" "Textbook Conversation" "activity"
"504" "chew away" "Youth Fiction Sampled" "activity"
"505" "chip in" "Spoken BNC 2014" "activity"
"506" "chirp" "Youth Fiction Sampled" "activity"
"507" "choke" "Youth Fiction Sampled" "activity"
"508" "choke" "Textbook Fiction" "activity"
"509" "choke" "Spoken BNC 2014" "activity"
"510" "choke" "Youth Fiction Sampled" "activity"
"511" "choke up" "Youth Fiction Sampled" "activity"
"512" "choose" "Textbook Conversation" "mental"
"513" "choose" "Textbook Conversation" "mental"
"514" "chop" "Spoken BNC 2014" "activity"
"515" "chop up" "Youth Fiction Sampled" "activity"
"516" "chuck" "Youth Fiction Sampled" "activity"
"517" "cite" "Textbook Fiction" "communication"
"518" "clap" "Spoken BNC 2014" "activity"
"519" "clap" "Textbook Conversation" "activity"
"520" "clap" "Youth Fiction Sampled" "activity"
"521" "clap" "Textbook Conversation" "activity"
"522" "clap" "Textbook Conversation" "activity"
"523" "clarify" "Spoken BNC 2014" "communication"
"524" "clash" "Youth Fiction Sampled" "activity"
"525" "clean" "Spoken BNC 2014" "activity"
"526" "clean" "Spoken BNC 2014" "activity"
"527" "clean" "Spoken BNC 2014" "activity"
"528" "clean" "Textbook Conversation" "activity"
"529" "clean" "Spoken BNC 2014" "activity"
"530" "clean" "Youth Fiction Sampled" "activity"
"531" "clean" "Textbook Fiction" "activity"
"532" "clean" "Textbook Conversation" "activity"
"533" "clean up" "Youth Fiction Sampled" "activity"
"534" "clear" "Textbook Conversation" "activity"
"535" "clear" "Textbook Conversation" "activity"
"536" "clear" "Textbook Fiction" "activity"
"537" "clear out" "Textbook Fiction" "activity"
"538" "clear up" "Spoken BNC 2014" "activity"
"539" "climb" "Textbook Conversation" "activity"
"540" "cling on" "Youth Fiction Sampled" "activity"
"541" "close" "Spoken BNC 2014" "activity"
"542" "close" "Textbook Fiction" "activity"
"543" "close" "Textbook Conversation" "activity"
"544" "close" "Textbook Conversation" "activity"
"545" "close" "Spoken BNC 2014" "activity"
"546" "cluck" "Youth Fiction Sampled" "communication"
"547" "collaborate" "Spoken BNC 2014" "activity"
"548" "collapse" "Textbook Fiction" "occurrence"
"549" "collect" "Textbook Conversation" "activity"
"550" "collect" "Textbook Fiction" "activity"
"551" "collect" "Textbook Conversation" "activity"
"552" "collect" "Textbook Conversation" "activity"
"553" "collect" "Textbook Fiction" "activity"
"554" "collect" "Spoken BNC 2014" "activity"
"555" "collect" "Textbook Conversation" "activity"
"556" "come" "Textbook Conversation" "unclear_other"
"557" "come" "Spoken BNC 2014" "unclear_other"
"558" "come" "Textbook Fiction" "unclear_other"
"559" "come" "Spoken BNC 2014" "unclear_other"
"560" "come" "Textbook Fiction" "unclear_other"
"561" "come" "Textbook Conversation" "unclear_other"
"562" "come" "Textbook Conversation" "unclear_other"
"563" "come" "Textbook Conversation" "unclear_other"
"564" "come" "Textbook Fiction" "unclear_other"
"565" "come" "Textbook Conversation" "unclear_other"
"566" "come" "Textbook Conversation" "unclear_other"
"567" "come" "Youth Fiction Sampled" "unclear_other"
"568" "come" "Textbook Conversation" "unclear_other"
"569" "come" "Spoken BNC 2014" "unclear_other"
"570" "come" "Textbook Conversation" "unclear_other"
"571" "come" "Textbook Conversation" "unclear_other"
"572" "come" "Textbook Conversation" "unclear_other"
"573" "come" "Spoken BNC 2014" "unclear_other"
"574" "come" "Textbook Fiction" "unclear_other"
"575" "come" "Youth Fiction Sampled" "unclear_other"
"576" "come" "Textbook Conversation" "unclear_other"
"577" "come" "Youth Fiction Sampled" "unclear_other"
"578" "come" "Textbook Fiction" "unclear_other"
"579" "come" "Spoken BNC 2014" "unclear_other"
