words,obs.freq.1,obs.freq.2,exp.freq.1,exp.freq.2,pref.occur,delta.p.constr1.cues.word,delta.p.word.cues.constr1,coll.strength
bet,0,22,0.94,21.06,X.TxBSpoken_non_prog.,0,-0.04,1.91
blame,0,7,0.3,6.7,X.TxBSpoken_non_prog.,0,-0.04,0.61
blink,0,1,0.04,0.96,X.TxBSpoken_non_prog.,0,-0.04,0.09
block,1,1,0.09,1.91,X.TxB_prog_count.,0,0.46,3.63
blow,1,9,0.43,9.57,X.TxB_prog_count.,0,0.06,0.6
board,2,5,0.3,6.7,X.TxB_prog_count.,0,0.24,4.69
boil,0,2,0.09,1.91,X.TxBSpoken_non_prog.,0,-0.04,0.17
bomb,0,1,0.04,0.96,X.TxBSpoken_non_prog.,0,-0.04,0.09
book,0,26,1.11,24.89,X.TxBSpoken_non_prog.,0,-0.04,2.26
bore,0,9,0.38,8.62,X.TxBSpoken_non_prog.,0,-0.04,0.78
borrow,1,27,1.19,26.81,X.TxBSpoken_non_prog.,0,-0.01,0.03
bother,2,12,0.6,13.4,X.TxB_prog_count.,0,0.1,2.19
bow,1,2,0.13,2.87,X.TxB_prog_count.,0,0.29,2.67
break,2,95,4.12,92.88,X.TxBSpoken_non_prog.,0,-0.02,1.4
breathe,0,1,0.04,0.96,X.TxBSpoken_non_prog.,0,-0.04,0.09
bring,4,94,4.17,93.83,X.TxBSpoken_non_prog.,0,0,0.01
browse,0,2,0.09,1.91,X.TxBSpoken_non_prog.,0,-0.04,0.17
build,4,75,3.36,75.64,X.TxB_prog_count.,0,0.01,0.12
burn,1,7,0.34,7.66,X.TxB_prog_count.,0,0.08,0.9
burst,1,3,0.17,3.83,X.TxB_prog_count.,0,0.21,2.08
buy,12,228,10.2,229.8,X.TxB_prog_count.,0,0.01,0.32
call,13,221,9.95,224.05,X.TxB_prog_count.,0,0.01,0.9
camp,1,0,0.04,0.96,X.TxB_prog_count.,0,0.96,6.32
carry,3,26,1.23,27.77,X.TxB_prog_count.,0,0.06,1.92
catch,1,43,1.87,42.13,X.TxBSpoken_non_prog.,0,-0.02,0.51
cause,3,21,1.02,22.98,X.TxB_prog_count.,0,0.08,2.69
celebrate,5,19,1.02,22.98,X.TxB_prog_count.,0,0.17,8.68
change,8,95,4.38,98.62,X.TxB_prog_count.,0,0.04,2.54
charge,0,1,0.04,0.96,X.TxBSpoken_non_prog.,0,-0.04,0.09
chase,3,4,0.3,6.7,X.TxB_prog_count.,0,0.39,9.74
chat,4,22,1.11,24.89,X.TxB_prog_count.,0,0.11,4.86
cheat,0,3,0.13,2.87,X.TxBSpoken_non_prog.,0,-0.04,0.26
check,2,78,3.4,76.6,X.TxBSpoken_non_prog.,0,-0.02,0.7
cheer,4,10,0.6,13.4,X.TxB_prog_count.,0,0.24,9.39
chew,1,9,0.43,9.57,X.TxB_prog_count.,0,0.06,0.6
choose,2,90,3.91,88.09,X.TxBSpoken_non_prog.,0,-0.02,1.18
chop,0,1,0.04,0.96,X.TxBSpoken_non_prog.,0,-0.04,0.09
clap,3,1,0.17,3.83,X.TxB_prog_count.,0,0.71,14.54
clean,2,25,1.15,25.85,X.TxB_prog_count.,0,0.03,0.55
clear,2,4,0.26,5.74,X.TxB_prog_count.,0,0.29,5.34
climb,1,20,0.89,20.11,X.TxB_prog_count.,0,0.01,0.01
close,2,30,1.36,30.64,X.TxB_prog_count.,0,0.02,0.28
collect,4,28,1.36,30.64,X.TxB_prog_count.,0,0.08,3.59
come,62,882,40.12,903.88,X.TxB_prog_count.,0.01,0.02,10.95
comment,0,1,0.04,0.96,X.TxBSpoken_non_prog.,0,-0.04,0.09
commit,1,6,0.3,6.7,X.TxB_prog_count.,0,0.1,1.1
communicate,1,1,0.09,1.91,X.TxB_prog_count.,0,0.46,3.63
compete,0,5,0.21,4.79,X.TxBSpoken_non_prog.,0,-0.04,0.43
complain,2,10,0.51,11.49,X.TxB_prog_count.,0,0.12,2.69
compose,0,2,0.09,1.91,X.TxBSpoken_non_prog.,0,-0.04,0.17
concentrate,2,7,0.38,8.62,X.TxB_prog_count.,0,0.18,3.71
consider,0,18,0.77,17.23,X.TxBSpoken_non_prog.,0,-0.04,1.56
