"Lemma"	"Corpus"
"405"	"travel"	"Youth Fiction Sampled"
"406"	"look for"	"Youth Fiction Sampled"
"407"	"say"	"Youth Fiction Sampled"
"408"	"spin"	"Youth Fiction Sampled"
"409"	"look at"	"Youth Fiction Sampled"
"410"	"miss"	"Youth Fiction Sampled"
"411"	"bake"	"Youth Fiction Sampled"
"412"	"sit"	"Youth Fiction Sampled"
"413"	"look"	"Youth Fiction Sampled"
"414"	"pay attention"	"Youth Fiction Sampled"
"415"	"retch"	"Youth Fiction Sampled"
"416"	"think"	"Youth Fiction Sampled"
"417"	"wonder"	"Youth Fiction Sampled"
"418"	"chase"	"Youth Fiction Sampled"
"419"	"think about"	"Youth Fiction Sampled"
"420"	"give"	"Youth Fiction Sampled"
"421"	"be"	"Youth Fiction Sampled"
"422"	"chop up"	"Youth Fiction Sampled"
"423"	"say"	"Youth Fiction Sampled"
"424"	"go"	"Youth Fiction Sampled"
"425"	"come back"	"Youth Fiction Sampled"
"426"	"stare at"	"Youth Fiction Sampled"
"427"	"add"	"Youth Fiction Sampled"
"428"	"hang"	"Youth Fiction Sampled"
"429"	"get into"	"Youth Fiction Sampled"
"430"	"walk"	"Youth Fiction Sampled"
"431"	"be"	"Youth Fiction Sampled"
"432"	"walk along"	"Youth Fiction Sampled"
"433"	"drink"	"Youth Fiction Sampled"
"434"	"come"	"Youth Fiction Sampled"
"435"	"take"	"Youth Fiction Sampled"
"436"	"speak"	"Youth Fiction Sampled"
"437"	"walk around"	"Youth Fiction Sampled"
"438"	"meet"	"Youth Fiction Sampled"
"439"	"choke"	"Youth Fiction Sampled"
"440"	"make"	"Youth Fiction Sampled"
"441"	"hope"	"Youth Fiction Sampled"
"442"	"tell"	"Youth Fiction Sampled"
"443"	"cry"	"Youth Fiction Sampled"
"444"	"begin"	"Youth Fiction Sampled"
"445"	"go"	"Youth Fiction Sampled"
"446"	"shake"	"Youth Fiction Sampled"
"447"	"return"	"Youth Fiction Sampled"
"448"	"look"	"Youth Fiction Sampled"
"449"	"stand up"	"Youth Fiction Sampled"
"450"	"say"	"Youth Fiction Sampled"
"451"	"believe in"	"Youth Fiction Sampled"
"452"	"go"	"Youth Fiction Sampled"
"453"	"get"	"Youth Fiction Sampled"
"454"	"take"	"Youth Fiction Sampled"
"455"	"astonish"	"Youth Fiction Sampled"
"456"	"do"	"Youth Fiction Sampled"
"457"	"make fun"	"Youth Fiction Sampled"
"458"	"fly over"	"Youth Fiction Sampled"
"459"	"look at"	"Youth Fiction Sampled"
"460"	"tell"	"Youth Fiction Sampled"
"461"	"die"	"Youth Fiction Sampled"
"462"	"talk about"	"Youth Fiction Sampled"
"463"	"guard"	"Youth Fiction Sampled"
"464"	"work"	"Youth Fiction Sampled"
"465"	"become"	"Youth Fiction Sampled"
"466"	"organise"	"Youth Fiction Sampled"
"467"	"start"	"Youth Fiction Sampled"
"468"	"pop"	"Youth Fiction Sampled"
"469"	"force open"	"Youth Fiction Sampled"
"470"	"push"	"Youth Fiction Sampled"
"471"	"suck wind"	"Youth Fiction Sampled"
"472"	"interfere"	"Youth Fiction Sampled"
"473"	"hold out"	"Youth Fiction Sampled"
"474"	"bet"	"Youth Fiction Sampled"
"475"	"discuss"	"Youth Fiction Sampled"
"476"	"take"	"Youth Fiction Sampled"
