lemma	semantic_domain
reopen	activity
repair	activity
repeat	activity
reply	communication
report	communication
represent	existence_relationship
require	facilitation_causation
research	activity
resonate	occurrence
respond	communication
rest	activity
retch	activity
retire	activity
return	activity
rev	activity
reveal	existence_relationship
review	activity
revise	activity
rewrite	activity
ride	activity
ride high	unclear_other
ring	activity
riot	activity
rip off	activity
rip up	occurrence
rise	occurrence
risk	activity
roam about	activity
roar	communication
roast	activity
rob	activity
roll	unclear_other
roll around	unclear_other
roll over	activity
romanticise	mental
row	communication
rub	activity
rub in	communication
ruin	activity
run	activity
run away	activity
run down	unclear_other
run high	unclear_other
run late	activity
run low	occurrence
run out	occurrence
run out/short	occurrence
run short	occurrence
run up	unclear_other
rush	activity
rush over	activity
sabotage	activity
sail	activity
satisfy	mental
save	activity
savour	mental
say	communication
scam	activity
scan	activity
scare away	activity
scoot	activity
scramble	activity
scrape together	activity
scream	communication
scream out	activity
search	activity
search for	activity
see	unclear_other
see to	activity
seek	activity
seem	existence_relationship
seep	occurrence
seethe	unclear_other
sell	activity
send	activity
send back	activity
send in	activity
send up	occurrence
sense	mental
serve	activity
set	unclear_other
set up	activity
settle	aspectual
settle down	activity
shake	activity
share	activity
shift	occurrence
shine	occurrence
ship	activity
shiver	activity
shoot	activity
shootle	unclear_other
shop	activity
shout	communication
show	unclear_other
show in	unclear_other
show off	communication
shower	unclear_other
shrink	occurrence
shrug	communication
shut	activity
shut up	activity
sign	communication
sing	communication
singe	occurrence
sink	occurrence
sit	activity
sit down	activity
sit up	activity
skinny-dip	activity
slam	activity
slap	activity
sleep	activity
slide	unclear_other
slip	occurrence
slip away	occurrence
slow	occurrence
smash	activity
smell	activity
smile	activity
smile about	activity
smirk	activity
smoke	activity
smuggle	activity
sniff	activity
snigger	communication
snip	activity
snore	activity
snort	activity
snow	occurrence
snub	communication
soak	unclear_other
sob	activity
socialise	activity
solve	mental
something	unclear_other
sort out	activity
sound	existence_relationship
speak	communication
specify	communication
speed	unclear_other
spin	occurrence
spit	activity
splash	activity
split	activity
split off	occurrence
sponsor	activity
spread	unclear_other
spring up	occurrence
sprint	activity
spy	activity
spy on	activity
squander	activity
squeeze	activity
squint	activity
stalk up	unclear_other
stall	activity
stand	existence_relationship
stand back	activity
stand by	activity
stand up	activity
stare	activity
stare at	activity
stare into	activity
stare up	activity
start	aspectual
start up	activity
starve	activity
state	communication
stay	existence_relationship
steal	activity
stick	activity
stimulate	facilitation_causation
stir up	facilitation_causation
stop	aspectual
store	activity
straighten up	unclear_other
stream	unclear_other
stream in	unclear_other
stress	activity
stretch	activity
strip	activity
strip off	activity
stroll	activity
stroll around	activity
struggle	mental
strut	activity
study	activity
stumble	activity
suck	occurrence
suck wind	occurrence
suffer	mental
suffer from	mental
suggest	communication
suggest 	communication
suit	existence_relationship
sulk	communication
sunbathe	activity
supply	activity
support	unclear_other
suppose	mental
surf	activity
surface	occurrence
surround	existence_relationship
suspect	mental
swallow	activity
swarm	existence_relationship
swear	communication
sweat	activity
sweep up	occurrence
swell	occurrence
swim	activity
swim out	activity
swing	unclear_other
swish	unclear_other
swivel	activity
take	unclear_other
take away	activity
take back	communication
take care	activity
take in	unclear_other
take off	activity
take on	activity
take out	unclear_other
take over	activity
take part	activity
take place	occurrence
take revenge	activity
take up	unclear_other
talk	communication
talk about	communication
talk to	communication
talk with	communication
tan	occurrence
taste	mental
tax	unclear_other
teach	communication
tear	occurrence
teem	existence_relationship
teeter	occurrence
telephone	activity
televise	activity
tell	communication
tempt	mental
tend	existence_relationship
tessellate	existence_relationship
test	activity
text	activity
thank	communication
think	mental
think about	mental
think of	mental
threaten	communication
thrive	occurrence
throb	occurrence
throw	activity
throw up	activity
thud	occurrence
tick	occurrence
tick along	occurrence
tidy	activity
tilt	occurrence
tingle	occurrence
tip	occurrence
top	occurrence
touch	activity
track	activity
train	activity
tramp about	activity
transcribe	activity
travel	activity
traverse	unclear_other
treat	activity
treat oneself	activity
tremble	occurrence
trend	occurrence
trouble	facilitation_causation
trust	mental
try	unclear_other
try on	activity
turn	unclear_other
turn into	unclear_other
turn off	activity
turn over	activity
turn up	activity
tweet	activity
twist	activity
twitch	occurrence
type	activity
undergo	activity
understand	mental
unfold	occurrence
update	activity
upload	activity
upset	facilitation_causation
urge	communication
use	activity
vanish	occurrence
vary	existence_relationship
vibrate	occurrence
