words,obs.freq.1,obs.freq.2,exp.freq.1,exp.freq.2,pref.occur,delta.p.constr1.cues.word,delta.p.word.cues.constr1,coll.strength
dress,0,10.34495253,0.61,9.74,X.BNC_non_prog.,0,-0.06,1.25
drink,18,43.06136243,3.59,57.48,X.BNC_prog_count.,0,0.24,33.29
drip,1,0.120391971,0.07,1.05,X.BNC_prog_count.,0,0.83,4.92
drive,16,63.84660114,4.69,75.16,X.BNC_prog_count.,0,0.14,18.49
drown,0,1.979359149,0.12,1.86,X.BNC_non_prog.,0,-0.06,0.24
dry,2,7.149867764,0.54,8.61,X.BNC_prog_count.,0,0.16,2.6
dust,0,0.634888784,0.04,0.6,X.BNC_non_prog.,0,-0.06,0.08
earn,8,10.74789232,1.1,17.65,X.BNC_prog_count.,0,0.37,21.09
eat,19,165.3044792,10.82,173.48,X.BNC_prog_count.,0,0.04,5.45
email,1,11.21227249,0.72,11.5,X.BNC_prog_count.,0,0.02,0.11
emerge,0,0.597542385,0.04,0.56,X.BNC_non_prog.,0,-0.06,0.07
encourage,3,2.863384649,0.34,5.52,X.BNC_prog_count.,0,0.45,9.23
end,2,58.09035605,3.53,56.56,X.BNC_non_prog.,0,-0.03,0.83
enjoy,9,47.35571615,3.31,53.05,X.BNC_prog_count.,0,0.1,7.27
evolve,0,2.091398346,0.12,1.97,X.BNC_non_prog.,0,-0.06,0.25
exaggerate,4,0,0.23,3.77,X.BNC_prog_count.,0,0.94,22.69
exclude,0,1.419163163,0.08,1.34,X.BNC_non_prog.,0,-0.06,0.17
expand,1,1.688940731,0.16,2.53,X.BNC_prog_count.,0,0.31,2.33
expect,4,40.81567884,2.63,42.18,X.BNC_prog_count.,0,0.03,0.66
experiment,0,0.560195986,0.03,0.53,X.BNC_non_prog.,0,-0.06,0.07
explain,2,18.57786587,1.21,19.37,X.BNC_prog_count.,0,0.04,0.47
explode,0,3.137097519,0.18,2.95,X.BNC_non_prog.,0,-0.06,0.38
exploit,1,0,0.06,0.94,X.BNC_prog_count.,0,0.94,5.67
express,0,1.381816764,0.08,1.3,X.BNC_non_prog.,0,-0.06,0.17
extend,2,1.47321511,0.2,3.27,X.BNC_prog_count.,0,0.52,6.79
face,1,7.851096572,0.52,8.33,X.BNC_prog_count.,0,0.05,0.38
fail,1,12.44470365,0.79,12.66,X.BNC_prog_count.,0,0.02,0.06
fall,7,47.4883962,3.2,51.29,X.BNC_prog_count.,0,0.07,3.65
feed,1,17.93462431,1.11,17.82,X.BNC_non_prog.,0,-0.01,0.01
feel,17,252.2675371,15.81,253.46,X.BNC_prog_count.,0,0,0.09
fight,2,9.540037303,0.68,10.86,X.BNC_prog_count.,0,0.11,1.85
fill,2,23.76901534,1.51,24.26,X.BNC_prog_count.,0,0.02,0.15
film,2,4.759698226,0.4,6.36,X.BNC_prog_count.,0,0.24,3.71
find,2,245.4945864,14.53,232.96,X.BNC_non_prog.,0,-0.05,17.84
finish,2,71.5350597,4.32,69.22,X.BNC_non_prog.,0,-0.03,1.64
fire,2,1.361175913,0.2,3.16,X.BNC_prog_count.,0,0.54,6.97
flee,1,0,0.06,0.94,X.BNC_prog_count.,0,0.94,5.67
flick,3,0,0.18,2.82,X.BNC_prog_count.,0,0.94,17.01
flirt,0,0.709581582,0.04,0.67,X.BNC_non_prog.,0,-0.06,0.09
fly,11,24.0682687,2.06,33.01,X.BNC_prog_count.,0,0.26,21.68
focus,1,4.303188663,0.31,4.99,X.BNC_prog_count.,0,0.13,1.06
fold,1,3.742992678,0.28,4.46,X.BNC_prog_count.,0,0.15,1.24
follow,7,17.79800896,1.46,23.34,X.BNC_prog_count.,0,0.22,12.34
fool,0,0.672235183,0.04,0.63,X.BNC_non_prog.,0,-0.06,0.08
forget,1,78.17436596,4.65,74.53,X.BNC_non_prog.,0,-0.05,4.4
