words,obs.freq.1,obs.freq.2,exp.freq.1,exp.freq.2,pref.occur,delta.p.constr1.cues.word,delta.p.word.cues.constr1,coll.strength
whirl,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
start,14,310,15.57,308.43,X.TxB_Nar_non_prog.,0,0,-0.17
drop,1,29,1.44,28.56,X.TxB_Nar_non_prog.,0,-0.01,-0.16
hope,2,52,2.6,51.4,X.TxB_Nar_non_prog.,0,-0.01,-0.16
reach,2,51,2.55,50.45,X.TxB_Nar_non_prog.,0,-0.01,-0.13
return,1,28,1.39,27.61,X.TxB_Nar_non_prog.,0,-0.01,-0.13
abandon,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
advance,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
amuse,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
astonish,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
attempt,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
bake,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
clash,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
crouch,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
cut,1,27,1.35,26.65,X.TxB_Nar_non_prog.,0,-0.01,-0.1
deal,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
deliver,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
descend,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
dip,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
grasp,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
guard,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
hammer,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
issue,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
keep,4,93,4.66,92.34,X.TxB_Nar_non_prog.,0,-0.01,-0.1
lead,1,27,1.35,26.65,X.TxB_Nar_non_prog.,0,-0.01,-0.1
milk,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
murmur,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
pile,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
pluck,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
plug,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
quit,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
scramble,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
shrink,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
snort,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
stalk,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
stroll,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
telephone,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
track,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
twitch,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
waste,0,1,0.05,0.95,X.TxB_Nar_non_prog.,0,-0.05,-0.1
feed,1,26,1.3,25.7,X.TxB_Nar_non_prog.,0,-0.01,-0.08
roll,1,26,1.3,25.7,X.TxB_Nar_non_prog.,0,-0.01,-0.08
break,2,47,2.36,46.64,X.TxB_Nar_non_prog.,0,-0.01,-0.06
follow,4,87,4.37,86.63,X.TxB_Nar_non_prog.,0,0,-0.03
spend,2,45,2.26,44.74,X.TxB_Nar_non_prog.,0,-0.01,-0.03
begin,6,124,6.25,123.75,X.TxB_Nar_non_prog.,0,0,-0.01
cross,1,22,1.11,21.89,X.TxB_Nar_non_prog.,0,0,-0.01
press,1,22,1.11,21.89,X.TxB_Nar_non_prog.,0,0,-0.01
rise,1,22,1.11,21.89,X.TxB_Nar_non_prog.,0,0,-0.01
steal,1,22,1.11,21.89,X.TxB_Nar_non_prog.,0,0,-0.01
teach,1,22,1.11,21.89,X.TxB_Nar_non_prog.,0,0,-0.01
become,5,102,5.14,101.86,X.TxB_Nar_non_prog.,0,0,0
feel,14,280,14.13,279.87,X.TxB_Nar_non_prog.,0,0,0
lean,1,20,1.01,19.99,X.TxB_Nar_non_prog.,0,0,0
push,2,40,2.02,39.98,X.TxB_Nar_non_prog.,0,0,0
show,5,101,5.09,100.91,X.TxB_Nar_non_prog.,0,0,0
