Filename,Level
Achievers_A2_Narrative_00021.txt,B
Achievers_A2_Narrative_0003.txt,B
Achievers_A2_Narrative_0004.txt,B
Achievers_A2_Narrative_0005.txt,B
Achievers_A2_Personal_0001.txt,B
Achievers_A2_Personal_0002.txt,B
Achievers_A2_Personal_0003.txt,B
Achievers_A2_Spoken_0001.txt,B
Achievers_A2_Spoken_0002.txt,B
Achievers_A2_Spoken_0003.txt,B
Achievers_B1_Informative_0001.txt,C
Achievers_B1_Informative_0002.txt,C
Achievers_B1_Informative_0003.txt,C
Achievers_B1_Informative_0004.txt,C
Achievers_B1_Informative_0005.txt,C
Achievers_B1_Informative_0006.txt,C
Achievers_B1_Informative_0007.txt,C
Achievers_B1_Informative_0008.txt,C
Achievers_B1_Informative_0009.txt,C
Achievers_B1_Informative_0010.txt,C
Achievers_B1_Informative_0011.txt,C
Achievers_B1_Informative_0012.txt,C
Achievers_B1_Instructional_0001.txt,C
Achievers_B1_Instructional_0002.txt,C
Achievers_B1_Instructional_0003.txt,C
Achievers_B1_Instructional_0004.txt,C
Achievers_B1_Instructional_0005.txt,C
Achievers_B1_Instructional_0006.txt,C
Achievers_B1_Instructional_0007.txt,C
Achievers_B1_Instructional_0008.txt,C
Achievers_B1_Instructional_0009.txt,C
Achievers_B1_Instructional_0010.txt,C
Achievers_B1_Instructional_0011.txt,C
Achievers_B1_Instructional_0012.txt,C
Achievers_B1_Instructional_0013.txt,C
Achievers_B1_Instructional_0014.txt,C
Achievers_B1_Instructional_0015.txt,C
Achievers_B1_Instructional_0016.txt,C
Achievers_B1_Instructional_0017.txt,C
Achievers_B1_Instructional_0018.txt,C
Achievers_B1_Instructional_0019.txt,C
Achievers_B1_Instructional_0020.txt,C
Achievers_B1_Instructional_0021.txt,C
Achievers_B1_Instructional_0022.txt,C
Achievers_B1_Instructional_0023.txt,C
Achievers_B1_Narrative_0001.txt,C
Achievers_B1_Narrative_0002.txt,C
Achievers_B1_Narrative_0003.txt,C
Achievers_B1_Narrative_0004.txt,C
Achievers_B1_Narrative_0005.txt,C
Achievers_B1_Personal_0001.txt,C
Achievers_B1_Personal_0002.txt,C
Achievers_B1_Personal_0003.txt,C
Achievers_B1_Personal_0004.txt,C
Achievers_B1_plus_Informative_0001.txt,D
Achievers_B1_plus_Informative_0002.txt,D
Achievers_B1_plus_Informative_0003.txt,D
Achievers_B1_plus_Informative_0004.txt,D
Achievers_B1_plus_Informative_0005.txt,D
Achievers_B1_plus_Informative_0006.txt,D
Achievers_B1_plus_Informative_0007.txt,D
Achievers_B1_plus_Informative_0008.txt,D
Achievers_B1_plus_Informative_0009.txt,D
Achievers_B1_plus_Informative_0010.txt,D
Achievers_B1_plus_Informative_0011.txt,D
Achievers_B1_plus_Informative_0012.txt,D
Achievers_B1_plus_Informative_0013.txt,D
Achievers_B1_plus_Informative_0014.txt,D
Achievers_B1_plus_Informative_0015.txt,D
Achievers_B1_plus_Informative_0016.txt,D
Achievers_B1_plus_Informative_0017.txt,D
Achievers_B1_plus_Instructional_0001.txt,D
Achievers_B1_plus_Instructional_0002.txt,D
Achievers_B1_plus_Instructional_0003.txt,D
Achievers_B1_plus_Instructional_0004.txt,D
Achievers_B1_plus_Instructional_0005.txt,D
Achievers_B1_plus_Instructional_0006.txt,D
Achievers_B1_plus_Instructional_0007.txt,D
Achievers_B1_plus_Instructional_0008.txt,D
Achievers_B1_plus_Instructional_0009.txt,D
Achievers_B1_plus_Instructional_0010.txt,D
Achievers_B1_plus_Instructional_0011.txt,D
Achievers_B1_plus_Instructional_0012.txt,D
Achievers_B1_plus_Instructional_0013.txt,D
Achievers_B1_plus_Instructional_0014.txt,D
Achievers_B1_plus_Instructional_0015.txt,D
